timestamp,robot_id,left_rpm,right_rpm,battery_v,distance_cm,imu_heading_deg
2025-06-29 10:00:00.000,MiniBot_1,44.94,90.99,7.41,149.0,358.2
2025-06-29 10:00:00.100,MiniBot_1,114.09,2.95,7.4,166.6,357.9
2025-06-29 10:00:00.200,MiniBot_1,87.84,2.65,7.43,37.8,359.3
2025-06-29 10:00:00.300,MiniBot_1,71.84,38.83,7.41,168.3,358.4
2025-06-29 10:00:00.400,MiniBot_1,18.72,58.64,7.38,112.7,358.0
2025-06-29 10:00:00.500,MiniBot_1,18.72,92.45,7.37,170.5,356.2
2025-06-29 10:00:00.600,MiniBot_1,6.97,82.0,7.42,91.9,356.0
2025-06-29 10:00:00.700,MiniBot_1,103.94,53.51,7.41,82.0,356.3
2025-06-29 10:00:00.800,MiniBot_1,72.13,32.84,7.4,183.9,356.6
2025-06-29 10:00:00.900,MiniBot_1,84.97,119.65,7.39,57.7,355.9
2025-06-29 10:00:01.000,MiniBot_1,2.47,51.14,7.41,170.4,355.2
2025-06-29 10:00:01.100,MiniBot_1,116.39,54.17,7.39,102.0,353.6
2025-06-29 10:00:01.200,MiniBot_1,99.89,19.63,7.4,107.7,353.1
2025-06-29 10:00:01.300,MiniBot_1,25.48,95.38,7.39,68.6,351.5
2025-06-29 10:00:01.400,MiniBot_1,21.82,83.24,7.38,118.9,352.5
2025-06-29 10:00:01.500,MiniBot_1,22.01,26.49,7.39,71.8,354.4
2025-06-29 10:00:01.600,MiniBot_1,36.51,9.89,7.4,17.5,356.3
2025-06-29 10:00:01.700,MiniBot_1,62.97,81.66,7.4,61.7,357.8
2025-06-29 10:00:01.800,MiniBot_1,51.83,78.54,7.39,11.2,358.2
2025-06-29 10:00:01.900,MiniBot_1,34.95,32.79,7.4,195.9,359.0
2025-06-29 10:00:02.000,MiniBot_1,73.42,114.1,7.4,193.5,358.1
2025-06-29 10:00:02.100,MiniBot_1,16.74,18.13,7.36,85.1,358.6
2025-06-29 10:00:02.200,MiniBot_1,35.06,51.88,7.38,148.4,358.4
2025-06-29 10:00:02.300,MiniBot_1,43.96,113.23,7.4,75.7,358.4
2025-06-29 10:00:02.400,MiniBot_1,54.73,50.37,7.38,137.5,359.4
2025-06-29 10:00:02.500,MiniBot_1,94.22,76.62,7.4,163.0,358.5
2025-06-29 10:00:02.600,MiniBot_1,23.96,47.71,7.37,189.9,357.8
2025-06-29 10:00:02.700,MiniBot_1,61.71,32.91,7.38,86.0,359.5
2025-06-29 10:00:02.800,MiniBot_1,71.09,118.08,7.39,158.8,357.7
2025-06-29 10:00:02.900,MiniBot_1,5.57,49.12,7.38,60.5,357.7
2025-06-29 10:00:03.000,MiniBot_1,72.91,107.29,7.42,198.2,359.3
2025-06-29 10:00:03.100,MiniBot_1,20.46,27.59,7.41,14.9,359.8
2025-06-29 10:00:03.200,MiniBot_1,7.81,25.57,7.41,124.7,359.9
2025-06-29 10:00:03.300,MiniBot_1,113.87,3.74,7.38,135.3,358.9
2025-06-29 10:00:03.400,MiniBot_1,115.88,78.2,7.35,140.7,358.3
2025-06-29 10:00:03.500,MiniBot_1,97.01,44.22,7.34,32.9,359.7
2025-06-29 10:00:03.600,MiniBot_1,36.55,103.72,7.37,188.3,360.0
2025-06-29 10:00:03.700,MiniBot_1,11.72,56.79,7.37,44.4,0.0
2025-06-29 10:00:03.800,MiniBot_1,82.11,116.18,7.42,128.3,358.4
2025-06-29 10:00:03.900,MiniBot_1,52.82,22.26,7.39,52.3,356.5
2025-06-29 10:00:04.000,MiniBot_1,14.64,104.23,7.4,68.4,358.3
2025-06-29 10:00:04.100,MiniBot_1,59.42,93.19,7.4,113.8,357.8
2025-06-29 10:00:04.200,MiniBot_1,4.13,92.51,7.39,89.3,358.3
2025-06-29 10:00:04.300,MiniBot_1,109.12,101.37,7.39,40.4,356.6
2025-06-29 10:00:04.400,MiniBot_1,31.05,91.32,7.42,42.5,357.3
2025-06-29 10:00:04.500,MiniBot_1,79.5,75.15,7.37,89.4,359.0
2025-06-29 10:00:04.600,MiniBot_1,37.41,15.75,7.4,153.9,359.3
2025-06-29 10:00:04.700,MiniBot_1,62.41,3.9,7.38,180.6,357.8
2025-06-29 10:00:04.800,MiniBot_1,65.61,110.5,7.34,26.0,358.2
2025-06-29 10:00:04.900,MiniBot_1,22.18,74.0,7.4,84.7,359.2
2025-06-29 10:00:05.000,MiniBot_1,116.35,95.58,7.43,29.0,358.9
2025-06-29 10:00:05.100,MiniBot_1,93.02,57.78,7.38,13.2,0.4
2025-06-29 10:00:05.200,MiniBot_1,112.74,14.08,7.36,135.7,1.0
2025-06-29 10:00:05.300,MiniBot_1,107.38,15.02,7.34,124.5,2.6
2025-06-29 10:00:05.400,MiniBot_1,71.75,82.27,7.4,41.0,3.1
2025-06-29 10:00:05.500,MiniBot_1,110.62,51.64,7.37,54.4,1.6
2025-06-29 10:00:05.600,MiniBot_1,10.62,24.06,7.39,14.5,0.8
2025-06-29 10:00:05.700,MiniBot_1,23.52,58.99,7.38,168.6,359.6
2025-06-29 10:00:05.800,MiniBot_1,5.43,7.71,7.32,195.2,1.3
2025-06-29 10:00:05.900,MiniBot_1,39.04,69.84,7.41,35.7,2.3
2025-06-29 10:00:06.000,MiniBot_1,46.64,32.28,7.37,54.0,3.0
2025-06-29 10:00:06.100,MiniBot_1,32.56,95.71,7.37,175.0,2.2
2025-06-29 10:00:06.200,MiniBot_1,99.45,37.24,7.35,186.0,1.0
2025-06-29 10:00:06.300,MiniBot_1,42.81,54.63,7.37,89.7,2.0
2025-06-29 10:00:06.400,MiniBot_1,33.71,1.39,7.37,19.6,1.9
2025-06-29 10:00:06.500,MiniBot_1,65.12,8.69,7.38,17.5,0.8
2025-06-29 10:00:06.600,MiniBot_1,16.91,47.1,7.37,119.1,1.3
2025-06-29 10:00:06.700,MiniBot_1,96.26,57.59,7.38,84.7,359.4
2025-06-29 10:00:06.800,MiniBot_1,8.95,72.0,7.36,15.4,358.7
2025-06-29 10:00:06.900,MiniBot_1,118.43,35.0,7.38,120.8,358.6
2025-06-29 10:00:07.000,MiniBot_1,92.67,83.4,7.36,12.1,357.2
2025-06-29 10:00:07.100,MiniBot_1,23.85,103.21,7.37,159.6,359.1
2025-06-29 10:00:07.200,MiniBot_1,0.66,93.58,7.35,68.2,358.0
2025-06-29 10:00:07.300,MiniBot_1,97.86,4.75,7.37,17.6,356.5
2025-06-29 10:00:07.400,MiniBot_1,84.82,57.66,7.4,121.8,355.3
2025-06-29 10:00:07.500,MiniBot_1,87.48,12.59,7.34,85.6,356.4
2025-06-29 10:00:07.600,MiniBot_1,92.55,29.05,7.39,195.0,356.1
2025-06-29 10:00:07.700,MiniBot_1,8.89,118.4,7.38,113.4,356.3
2025-06-29 10:00:07.800,MiniBot_1,43.02,17.1,7.38,62.3,354.4
2025-06-29 10:00:07.900,MiniBot_1,13.9,59.87,7.34,144.8,352.6
2025-06-29 10:00:08.000,MiniBot_1,103.57,74.18,7.41,61.6,352.3
2025-06-29 10:00:08.100,MiniBot_1,74.8,84.3,7.3,181.8,353.6
2025-06-29 10:00:08.200,MiniBot_1,39.71,67.16,7.34,81.2,355.2
2025-06-29 10:00:08.300,MiniBot_1,7.63,1.17,7.36,114.5,353.5
2025-06-29 10:00:08.400,MiniBot_1,37.32,39.18,7.37,19.6,353.7
2025-06-29 10:00:08.500,MiniBot_1,39.02,62.13,7.36,91.0,355.3
2025-06-29 10:00:08.600,MiniBot_1,87.55,10.54,7.35,168.1,354.9
2025-06-29 10:00:08.700,MiniBot_1,76.51,42.08,7.35,163.1,356.2
2025-06-29 10:00:08.800,MiniBot_1,106.47,3.98,7.35,52.6,354.7
2025-06-29 10:00:08.900,MiniBot_1,56.67,9.43,7.36,53.0,356.5
2025-06-29 10:00:09.000,MiniBot_1,14.35,47.63,7.37,165.3,357.5
2025-06-29 10:00:09.100,MiniBot_1,85.59,15.93,7.37,186.8,359.2
2025-06-29 10:00:09.200,MiniBot_1,91.29,68.1,7.37,28.1,359.9
2025-06-29 10:00:09.300,MiniBot_1,67.35,82.74,7.34,95.5,359.4
2025-06-29 10:00:09.400,MiniBot_1,92.52,96.07,7.35,74.1,1.1
